"title","subtitle","location"
"Bistro Mauthausen Memorial","Betriebe / Integrative Beschäftigung / Gastronomie","Mauthausen"
"Brot für die Welt","Entwicklungszusammenarbeit","Wien"
"Buntes Haus Völkermarkt","Hort / Lernbegleitung","Völkermarkt"
"Café & Bistro KOWALSKI Gallneukirchen","Betriebe / Integrative Beschäftigung / Gastronomie","Gallneukirchen"
"Café & Bistro KOWALSKI Kitzbühel, Berufsvorbereitung","Berufsvorbereitung / Betriebe / Integrative Beschäftigung / Gastronomie","Kitzbühel"
"Café & Bistro KOWALSKI Panoramabar","Betriebe / Integrative Beschäftigung / Gastronomie","Salzburg"
"Café & Bistro KOWALSKI Südbahnhofmarkt","Betriebe / Integrative Beschäftigung / Gastronomie","Linz"
"Café Gl.u.eck","","Villach"
"Careleaver-Anlaufstelle Klagenfurt","Sozialberatung / Soziale Startbegleitung","Klagenfurt"
"Careleaver-Anlaufstelle Villach","Sozialberatung / Soziale Startbegleitung","Villach"
"Chancenhaus Rossauer Lände","Wohnungslosenhilfe","Wien"
"Community Nursing - Orth an der Donau","Beratung","Orth an der Donau"
"David-Zentrum","Werkstätten","Feldkirchen"
"de La Tour Schule Deutschlandsberg","Mittelschule und Fachmittelschule / Volksschulen","Deutschlandsberg"
"de La Tour Schule Klagenfurt","Mittelschule und Fachmittelschule / Volksschulen","Klagenfurt"
"de La Tour Schulen","",""
"de La Tour Schulen davinci Hartberg","Mittelschule und Fachmittelschule / Volksschulen","Hartberg"
"de La Tour Schulen Hügelland Vasoldsberg","Mittelschule und Fachmittelschule / Volksschulen","Vasoldsberg"
"de La Tour Schulen Knittelfeld","Mittelschule und Fachmittelschule / Volksschulen","Knittelfeld"
"de La Tour Schulen Leithaberg","Mittelschule und Fachmittelschule / Volksschulen","7083 Purbach am Neusiedlersee"
"de La Tour Schulen ok Graz","Volksschulen","Graz"
"de La Tour Schulen Seiersberg","Mittelschule und Fachmittelschule / Innovative Schulformen","Seiersberg-Pirka"
"de La Tour Schulen Sonnenhaus Leibnitz","Mittelschule und Fachmittelschule / Volksschulen","Leibnitz"
"de La Tour Schulen Treffen","Mittelschule und Fachmittelschule / Volksschulen","Treffen"
"Demenzberatung Graz","Beratung / Demenzberatung / Mobile Beratung / Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Graz"
"Demenzberatung Salzburg","Demenzberatung","Salzburg"
"Der Laden","Betriebe / Werkstätten","Schladming"
"Der Laden Linzerberg","","Engerwitzdorf"
"Diakonie Akademie GmbH","Weiterbildungsakademien","Gallneukirchen"
"Diakonie Eine Welt - Akademie","Weiterbildungsakademien","Wien"
"Diakonie Essstörungsklinik","Klinik / Psychiatrische Diagnostik und Behandlung / Psychologische Begleitung / Psychosoziale Beratung / Essstörung / Stationäre Behandlung / Therapie","Feldkirchen"
"Diakonie Forum","Freizeit-, Sport- und Kulturangebote / Integrationsarbeit / Stadtteilarbeit","Oberwart"
"Diakonie Hospiz Treffen","Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Hospiz","Treffen am Ossiachersee"
"Diakonie Implacementstiftung","Implacemementstiftung für berufliche Qualifizierung","Gallneukirchen"
"Diakonie Katastrophenhilfe","Katastrophenhilfe","Wien"
"Diakonie Klinik Waiern","Akutgeriatrie / Klinik / Psychiatrische Diagnostik und Behandlung / Psychologische Begleitung / Psychotherapie / Essstörung / Stationäre Behandlung / Ambulanz / Sucht / Therapie","Feldkirchen"
"Diakonie mobile Pflege und Betreuung GmbH","","Oberschützen"
"Diakonie.mobil Braunau","Mobile Dienste / Angehörigen-Entlastung / Alltagsbegleitung","Mauerkirchen"
"Diakonie.mobil Ennstal","Familienbegleitung / Freizeit-, Sport- und Kulturangebote / Mobile Dienste / Selbständiges Wohnen / Angehörigen-Entlastung / Alltagsbegleitung / Wohnberatung / Pflegende Angehörige / Mobile Begleitung für Menschen mit Behinderungen","Schladming"
"Diakonie.mobil Gallneukirchen","Mobile Betreuung und Pflege im Alter / Mobile Dienste / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Gallneukirchen"
"Diakonie.mobil Hauskrankenhilfe","Beratung / Mobile Beratung / Mobile Betreuung und Pflege im Alter / Mobile Dienste / Mobile Hilfen / Angehörigen-Entlastung","Spittal/Drau"
"Diakonie.mobil Linz","Mobile Betreuung und Pflege im Alter / Mobile Dienste / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Linz"
"Diakonie.mobil Oberösterreich","Mobile Betreuung und Pflege im Alter / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Bezirke: Linz-Stadt, Wels-Stadt, Urfahr-Umgebung"
"Diakonie.mobil Perg & Urfahr Umgebung","Mobile Dienste / Angehörigen-Entlastung / Alltagsbegleitung","Engerwitzdorf"
"Diakonie.mobil Stadt Salzburg & Zentralraum","Mobile Beratung / Mobile Betreuung und Pflege im Alter / Mobile Dienste","Bezirke: Bezirke: Salzburg Stadt"
"Diakonie.mobil Steiermark","Beratung / Demenzberatung / Mobile Beratung / Mobile Betreuung und Pflege im Alter / Mobile Dienste / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Graz"
"Diakonie.mobil Steyr","Mobile Betreuung und Pflege im Alter / Mobile Dienste / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Steyr"
"Diakonie.mobil Tennengau","Mobile Betreuung und Pflege im Alter / Angehörigen-Entlastung","Hallein"
"Diakonie.mobil Tirol - Unterstützung für Menschen mit Behinderung für zuhause und im Alltag","Mobile Dienste","Kirchbichl"
"Diakonie.mobil Wels","Mobile Betreuung und Pflege im Alter / Mobile Dienste / Palliative Care / Angehörigen-Entlastung / Pflegende Angehörige","Wels"
"Diakoniewerk Syncare GmbH","Implacemementstiftung für berufliche Qualifizierung","Gallneukirchen"
"Diakoniezentrum Gols - Altenwohn- und Pflegeheim","Pflegeeinrichtung / Angehörigen-Entlastung / Alltagsbegleitung / Tagesbetreuung","Gols"
"Diakoniezentrum Oberwart - Alten- und Pflegeheim","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Hospiz","Oberwart"
"Diakoniezentrum Pinkafeld - Alten- und Pflegeheim","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Hospiz","Pinkafeld"
"Die Bücherinsel","Betriebe / Buchladen / Integrative Beschäftigung","Gallneukirchen"
"Die Gesundheitsgreisslerei - Eine dezentrale Außenstelle des Schweizer Haus Hadersdorf","Sucht / Therapie","Wien"
"Die Kunstwerkstatt","Kunst / Werkstätten","Gallneukirchen"
"DIG-Adelsmayrhof","Psychologische Begleitung / Wohngemeinschaft","Ried im Traunkreis"
"DIG-Geschäft Kirchdorf","Betriebe / Integrative Beschäftigung","Kirchdorf an der Krems"
"DIG-Tagesheimstätte Kirchdorf","Integrative Beschäftigung / Werkstätten","Kirchdorf an der Krems"
"DIG-Tagesheimstätte Windischgarsten","Integrative Beschäftigung / Werkstätten","Windischgarsten"
"DIG-Wohnhaus Windischgarsten","Betreutes Wohnen / Selbständiges Wohnen","Windischgarsten"
"Digital Überall PLUS","Bildungsangebote",""
"Einzelwohnbetreuung (EWB) STARTup Flat","Kinder- und Jugendhilfe / Unterstützung der Erziehung","Linz"
"Ernst-Schwarz-Haus","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Feldkirchen"
"Erstberatung für geflüchtete Menschen in Kärnten","Integrationsarbeit","Klagenfurt am Wörthersee"
"Erste Hilfe Kurse Johanniter Kärnten","Rettungsdienst und Krankentransporte","Patergassen"
"Erste Hilfe Kurse Johanniter Tirol","Rettungsdienst und Krankentransporte","Innsbruck"
"Erste Hilfe Kurse Johanniter Wien","Rettungsdienst und Krankentransporte","Wien"
