"title","subtitle","location"
"IBZ Innsbruck","Sozialberatung / Integrationsarbeit","Innsbruck"
"IBZ Salzburg","Deutschkurse / Integrationsarbeit / Wohnberatung","Salzburg"
"IBZ St. Pölten","Sozialberatung / Integrationsarbeit","St.Pölten"
"IBZ Telfs","Sozialberatung / Integrationsarbeit","Telfs"
"IBZ Wien","Deutschkurse / Integrationsarbeit / Wohnberatung","Wien"
"IBZ Wörgl","Sozialberatung / Integrationsarbeit","Wörgl"
"IBZ Zell am See","Sozialberatung / Integrationsarbeit","Zell am See"
"Ich-Du-Wir Montessori Kinderhaus de La Tour Treffen","Kindergarten / Kleinkindgruppen","Treffen"
"IDA - Ich und Du im Austausch","Familienberatung / Psychosoziale Beratung / Integrationsarbeit","Wien"
"IDA - Ich und Du im Austausch (Ktn & Stmk)","Integrationsarbeit","Klagenfurt"
"IDIOMA Plus Tirol","Bildungsangebote / Deutschkurse","Telfs"
"Idioma Salzburg","Bildungsangebote / Deutschkurse / Integrationsarbeit","Salzburg"
"Individuelle Begleitung","Freizeit-, Sport- und Kulturangebote / Mobile Dienste / Angehörigen-Entlastung / Mobile Begleitung für Menschen mit Behinderungen","Schladming"
"Inklusive FIT Schule","Berufsvorbereitung / Berufsbildende Schule / Bildungsangebote / Mittelschule und Fachmittelschule / Innovative Schulformen","Wien"
"Inklusives Lernzentrum","","Engerwitzdorf"
"Institut für öffentliche Theologie und Ethik der Diakonie","","Wien"
"Integrative Beschäftigung Hopfgarten","Integrative Beschäftigung","Hopfgarten"
"Integrative Montessori Mittelschule (IMS)","Bildungsangebote / Mittelschule und Fachmittelschule","Salzburg"
"Integrative Wohngemeinschaft Haus Bethanien","Wohngruppen / Wohngemeinschaft","Feldkirchen"
"Integrative, multiethnische Kindergärten Sunčani most","Kindergarten","Bezirke: Bosnien-Herzegowina"
"Integrativer, multiethnischer Kindergarten Sunčani most II Livno","","Livno, Bosnien-Herzegowina"
"Integrativer, multiethnischer Kindergarten Sunčani most Mostar","Kindergarten","Mostar, Bosnien-Herzegowina"
"Intensivbetreutes Wohnen und Tagesstruktur Reßnigweg","Wohngruppen / Wohnen für Menschen im Autismusspektrum / Betreutes Wohnen / Werkstätten / Wohngemeinschaft","Bezirke: Klagenfurt, Klagenfurt Land"
"Internationales Studierendenheim Staargasse","Studierendenheim","Wien"
"JEFIRA - Interkulturelles Psychotherapiezentrum Niederösterreich","Psychotherapie","St.Pölten"
"Johann Sebastian Bach Musikschule","Musikschule","Wien"
"Johann-Wilhelm-Klein-Haus","Wohnen für Menschen mit Sehbeeinträchtigung","Wien"
"Johanniter Hausnotruf Kärnten","Rettungsdienst und Krankentransporte / Hausnotruf","Patergassen"
"Johanniter Hausnotruf Wien","Rettungsdienst und Krankentransporte / Hausnotruf","Wien"
"Johanniter Katastrophenhilfsdienst Innsbruck","Katastrophenhilfe","Innsbruck"
"Johanniter Katastrophenhilfsdienst Wien","Katastrophenhilfe","Wien"
"Johanniter Residenz Schichtgründe","Betreutes Wohnen","Wien"
"Johanniter Wohnungslosenhilfe für Familien im Rahmen des Winterpakets","Wohnungslosenhilfe","Wien"
"Johanniter Wohnungslosenhilfe für Männer","Wohnungslosenhilfe","Wien"
"Johanniter-Jugend Patergassen","","Patergassen"
"Johanniter-Palliativteam Waidhofen","Mobile Dienste / Palliative Care","Waidhofen/Ybbs"
"Johanniter-Pflegenotdienst","Mobile Dienste / Pflegenotdienst","Wien"
"Johanniter-Unfall-Hilfe, Ausbildungszentrum","Rettungsdienst und Krankentransporte","Wien"
"Johanniter-Unfall-Hilfe, Dienststelle Orth a.d. Donau","Rettungsdienst und Krankentransporte","Orth an der Donau"
"Johanniter-Unfall-Hilfe, Landesgeschäftsstelle Kärnten","Rettungsdienst und Krankentransporte","Patergassen"
"Johanniter-Unfall-Hilfe, Landesgeschäftsstelle Tirol","Rettungsdienst und Krankentransporte","Innsbruck"
"Johanniter-Unfall-Hilfe, Landesgeschäftsstelle Wien","Rettungsdienst und Krankentransporte","Wien"
"Jugendnotschlafstelle JUNO Villach","Krisen- und Notschlafstelle / Jugendberatung / Wohnungslosenhilfe","Villach"
"Jugendzentrum im Bunten Haus","Hort / Lernbegleitung","Knittelfeld"
"Karibu","Integrationsarbeit / Wohngemeinschaft","Wien"
"Kinder- und Jugendkompetenzzentrum (KIJUK) Mühlviertel","Kinder- und Jugendpsychiatrie","Engerwitzdorf"
"Kindergarten Feld am See","Kindergarten / Kleinkindgruppen","Feld am See"
"Kindergarten für dich und mich","Entwicklungsförderung / Kinderbetreuung / Bildungsangebote / Kindergarten / Kleinkindgruppen","Linz"
"Kindergarten Glanhofen","Kindergarten","Feldkirchen"
"Kindergarten Gosau","Kindergarten","Gosau"
"Kindergarten Linzerberg","Kindergarten","Engerwitzdorf"
"Kindergarten Mühle","Kindergarten","Gallneukirchen"
"Kindergarten St. Martin","Kindergarten","Feldkirchen"
"Kindergarten St. Ulrich","Kindergarten / Kleinkindgruppen","Feldkirchen"
"Kindergarten Waiern","Kindergarten / Kleinkindgruppen","Feldkirchen"
"Kinderhospiz- und Familienbegleitung EULONI","Trauerhilfe","Klagenfurt"
"Kindertagesstätte BAOBAB","","Bratislava, Slowakei"
"Klinik Diakonissen Linz","Klinik","Linz"
"Klinik Diakonissen Schladming","Klinik","Schladming"
"Kolleg für Sozialpädagogik Feldkirchen","Berufsbildende Schule","Feldkirchen"
"Korps Wien, Kirchliche Arbeit der Heilsarmee","Seelsorge","Wien"
"Krabbelstube Nido","Kinderbetreuung / Bildungsangebote / Kindergarten","Linz"
"Krankenhaus de La Tour","Klinik / Psychiatrische Diagnostik und Behandlung / Psychologische Begleitung / Psychotherapie / Psychosoziale Beratung / Sozialberatung / Stationäre Behandlung / Sucht / Therapie","Treffen"
"Krankenhaus Waiern","Akutgeriatrie / Klinik / Mobile Betreuung und Pflege im Alter / Psychiatrische Diagnostik und Behandlung / Psychologische Begleitung / Psychotherapie / Selbsthilfegruppen / Essstörung / Stationäre Behandlung / Ambulanz / Tagesbetreuung","Feldkirchen"
"Krisenstelle Wàki","Wohngruppen / Kinder- und Jugendhilfe / Volle Erziehung / Krisen- und Notschlafstelle / Wohngemeinschaft","Linz"
"Krisenwohnung Knittelfeld","Familienbegleitung / Familienberatung","Knittelfeld"
"Kulinarium Catering","Betriebe / Integrative Beschäftigung / Gastronomie",""
"Kulinarium Engerwitzdorf","Betriebe / Essen auf Rädern / Integrative Beschäftigung / Gastronomie","Engerwitzdorf"
"Kulinarium Kitzbühel","Betriebe / Essen auf Rädern / Integrative Beschäftigung","Kitzbühel"
"Kulinarium Salzburg","Berufsvorbereitung / Betriebe / Integrative Beschäftigung / Gastronomie","Salzburg"
"Kunstwerkstatt Atelier","Kunst / Werkstätten","Gallneukirchen"
"Kunstwerkstatt Macherei","Kunst / Werkstätten","Gallneukirchen"
"Kunstwerkstatt Medien","Kunst / Werkstätten","Gallneukirchen"
"Kunstwerkstatt Theater Malaria","Kunst / Werkstätten","Gallneukirchen"
"Kärntner Fachforum für Integration und Menschenrechte","Integrationsarbeit","Klagenfurt"
"Köraus","Wohngruppen / Wohnen für Menschen im Autismusspektrum / Wohngemeinschaft","Feldkirchen"
"Küche : WAIERN","Integrative Beschäftigung / Gastronomie","Feldkirchen"
"Küche Harbach","Berufsvorbereitung / Integrative Beschäftigung / Gastronomie","Klagenfurt"
"LARES Burgenland","Grundversorgung / Wohnberatung / Wohngemeinschaft","Oberwart"
"LARES Wien","Wohnberatung","Wien"
"Lebensende in der Fremde","Sozialmedizinische Beratung","Wien"
"Lebensraum Linzerberg","","Engerwitzdorf"
"Lebenswelt Aigen","Quartiersarbeit / Soziale Startbegleitung / Stützpunktwohnen / Wohnquartier","Salzburg"
"Legasthenie-Testung und -Training","Diagnostik / Familienberatung","Linz"
"LeNa - Lebendige Nachbarschaft","Betreutes Wohnen / Quartiersarbeit / Selbständiges Wohnen / Stadtteilarbeit / Wohnkoordination","Gallneukirchen"
"Leopold-Pfest-Straße - Wohnen und Förderung","Betreutes Wohnen / Wohnen im Alter für Menschen mit Behinderungen / Wohnen für Menschen mit Sehbeeinträchtigung / Wohngemeinschaft","Salzburg"
"Leopold-Pfest-Straße Fördergruppe","Integrative Beschäftigung / Werkstätten","Salzburg"
"Lernbrücke für Pflichtschulkinder","","Salzburg"
"Lernen mit leerem Bauch? Geht nicht!","Schuljause","Wien"
"Lernhilfe Österreich","Bildungsangebote / Lernbegleitung","Bezirke: Wien, Niederösterreich, Salzburg"
"LIFEtool Beratungsstelle Kärnten","Unterstützte Kommunikation / Beratung","Treffen am Ossiacher See"
"LIFEtool Beratungsstelle Lienz","Unterstützte Kommunikation / Beratung","Lienz"
"LIFEtool Beratungsstelle Oberösterreich","Unterstützte Kommunikation / Beratung","Linz"
"Lifetool Beratungsstelle Prag","Unterstützte Kommunikation / Beratung","Praha"
"LIFEtool Beratungsstelle Steiermark","Unterstützte Kommunikation / Beratung","Graz"
"LIFEtool Beratungsstelle Wien","Unterstützte Kommunikation / Beratung","Wien"
"LIFEtool Beratungsstelle Zams","Unterstützte Kommunikation / Beratung","Zams"
"Lindenschlössl & Waldhaus","Wohngruppen / Betreutes Wohnen / Wohngemeinschaft","Treffen"
"MaBa Mama-Baby-Sozialraum","","Bezirke: Wien"
"Maria-Martha-Haus","Wohngruppen / Betreutes Wohnen / Wohngemeinschaft","Feldkirchen"
"Marktplatzl Lambach","","Bezirke: Lambach"
"Mehr Zeller Nachbarschaft","Quartiersarbeit / Alltagshilfen","Bad Zell"
"MIGRANTS CARE","",""
"MIHI Mobile Interkulturelle Hilfen","Mobile Hilfen","Wien"
"MINA - Wohngemeinschaft für Asylsuchende","Psychotherapie / Wohngemeinschaft","Wien"
"Mini mobile Dienste","","Klagenfurt"
"Miteinander leben - Werte teilen","Integrationsarbeit / Stadtteilarbeit","St. Pölten"
"Mitgehn - Begleitung in schwierigen Lebenslagen","","Gallneukirchen"
"MOBEB Mobile Flüchtlingsberatung Burgenland","Mobile Beratung / Sozialberatung / Integrationsarbeit","Oberwart"
"Mobile Angebote für Menschen mit Demenz und ihre Angehörigen","Beratung / Demenzberatung / Mobile Beratung / Mobile Dienste / Angehörigen-Entlastung / Therapie","Klagenfurt"
"Mobile Assistenzleistungen Kärnten","Mobile Dienste","Treffen"
"Mobile Assistenzleistungen Osttirol","Mobile Dienste","Lienz"
"Mobile Assistenzleistungen Steiermark","Mobile Dienste","Bezirke: ganze Steiermark"
"Mobile Flüchtlingsbetreuung Niederösterreich West","Mobile Beratung / Psychosoziale Beratung / Sozialberatung","St. Pölten"
"Mobile Jugendarbeit MOJA St. Veit","Mobile Beratung / Jugendberatung","St. Veit/Glan"
"Mobile Psychotherapie","Psychotherapie / Therapie","Linz"
"Mobile Stadtteilteams Salzburg","","Bezirke: Salzburg"
"Mobiler Dienst für Menschen im Alter in Sebeş","Mobile Dienste","Bezirke: Rumänien"
"Mobiler Dienst für Menschen mit Beeinträchtigung in Sebeş","Mobile Dienste","Bezirke: Rumänien"
"Mobiles Familiencoaching Braunau","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Altheim"
"Mobiles Familiencoaching Eferding, Grieskirchen","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Bad Schallerbach"
"Mobiles Familiencoaching Freistadt, Rohrbach","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Freistadt"
"Mobiles Familiencoaching Kärnten","Familienbegleitung / Familienberatung / Sozialberatung","Bezirke: Klagenfurt"
"Mobiles Familiencoaching Oberösterreich","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Linz"
"Mobiles Familiencoaching Perg, Urfahr Umgebung","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Perg"
"Mobiles Familiencoaching Ried, Schärding","Familiencoaching / Familienberatung / Mobile Beratung / Jugendberatung","Ried"
"Mobiles Monitoring - MoMo","Mobile Beratung / Quartiersarbeit / Stadtteilarbeit","Salzburg"
"modas – das Kolleg für Sozialpädagogik","Berufsbildende Schule","Wien"
"MoKiBoDo Montessori Kindergruppe 1-3 Jahre","Kindergarten / Kleinkindgruppen","Bodensdorf"
"Montessori Erlebnisschule in Mödling","Reformpädogische Schule / Volksschulen","Maria Enzersdorf Mödling"
"Montessori Kinderbetreuung Sonnenschein","Kindergarten","Knittelfeld"
"Montessori Kindergarten im Kinderhaus der Erlebnisschule","Kindergarten","Maria Enzersdorf Mödling"
"Montessori Kinderhaus","Kindergarten","Salzburg"
"Montessori Kinderhaus Klagenfurt","Kindergarten / Kleinkindgruppen","Klagenfurt"
"Montessori Oberstufenrealgymnasium (MORG)","Reformpädogische Schule / Innovative Schulformen","Grödig"
"Montessori Volksschule","Reformpädogische Schule / Volksschulen","Salzburg"
"MOSAIK - Sozialpsychiatrische Wohngemeinschaft für Erwachsene","Betreutes Wohnen / Angehörigen-Entlastung / Alltagsbegleitung / Werkstätten / Wohngemeinschaft","Gols"
"Mosaik.Mittelschule","Bildungsangebote / Mittelschule und Fachmittelschule / Reformpädogische Schule","Katsdorf"
"Mosaik.Schule","Bildungsangebote / Reformpädogische Schule / Volksschulen","Katsdorf"
"MOZAIK Jugendberatung","Rechtsberatung / Sozialberatung / Jugendberatung","Wien"
"Mutter-Kind-Gruppe Linz, Mum&Baby-Treff","Entwicklungsförderung / Familienberatung / Frühförderung","Linz"
"Mutter-Kind-Gruppe Wels, Mum&Baby-Treff","Entwicklungsförderung / Familienberatung / Frühförderung","Wels"
"Nachmittagsbetreuung VS Knittelfeld-Lindenallee","Lernbegleitung","Knittelfeld"
"Nudel & Holz","Integrative Beschäftigung","Kufstein"
"Nyumbani - Intensivbetreute Wohngemeinschaft","","Wien"
"Of(f)n Stüberl","Krisen- und Notschlafstelle / Sozialberatung / Wohnungslosenhilfe","Linz"
"Offenes Frauencafè","Krisen- und Notschlafstelle / Sozialberatung / Wohnungslosenhilfe","Linz"
"Open Learning Center","Bildungsangebote / Bildungsberatung / Lernbegleitung","Wien"
"Orientierungsstufe","Bildungsangebote / Innovative Schulformen","Salzburg"
"Peer-Beratung","Beratung","Gallneukirchen"
"Pflegeinformations- und Beratungsservice der Diakonie de La Tour","","Klagenfurt"
"PONTO - Brückenwohnen für Asylberechtigte","Psychosoziale Beratung / Rechtsberatung / Sozialberatung / Integrationsarbeit / Arbeitsmarktberatung / Wohnbegleitung / Wohnberatung","Wien"
"POP Akademie by JSBM","Musikschule","Wien"
"POSA – Potentiale der stillen Reserve mit Betreuungspflichten aktivieren","Integrationsarbeit","Bezirke: Klagenfurt"
"Postpartnerstelle Hagenberg","Betriebe","Hagenberg"
"PRO Ausblick Berufsvorbereitung","Berufsvorbereitung / Integrative Beschäftigung","Treffen"
"Projekt A:Life","Integrationsarbeit","Klagenfurt"
"Projekt GliK","Integrationsarbeit","Klagenfurt"
"Projekt SERIGO","",""
"Psychosoziale und therapeutische Angebote im Therapiezentrum Diakoniewerk","Kinder- und Jugendhilfe / Familienbegleitung / Jugendberatung","Oberösterreich"
"Psychotherapie für Kinder und Jugendliche","Psychotherapie / Therapie","Linz"
"PVE Bleiburg / Pliberk","Primärversorgungseinheit (PVE)","Bleiburg"
"PVE Diakonissen Admont","Primärversorgungseinheit (PVE)","Admont"
"PVE Diakonissen GmbH","","Gallneukirchen"
"PVE Diakonissen Kindberg","Primärversorgungseinheit (PVE)","Kindberg"
"PVE Diakonissen Mürzzuschlag","Primärversorgungseinheit (PVE)","Mürzzuschlag"
"PVE Diakonissen Telfs","Primärversorgungseinheit (PVE)","Telfs"
"PVE Diakonissen Wörgl","Primärversorgungseinheit (PVE)","Wörgl"
"PVE Spittal an der Drau","Primärversorgungseinheit (PVE)","Spittal an der Drau"
"Quartier Riedenburg","Soziale Startbegleitung / Wohnkoordination / Wohnquartier","Salzburg"
"RESI - Ressourcen stärken im Lebensraum Schule","","Linz"
"ReVital Shop","Betriebe","Bezirke: Oberösterreich"
"ReVital Shop Bad Hall","Betriebe / Integrative Beschäftigung","Bad Hall"
"ReVital Shop Gallneukirchen","Betriebe","Gallneukirchen"
"Rosa Zukunft","Quartiersarbeit / Generationenwohnen / Wohnkoordination / Wohnquartier","Bezirke: Salzburg"
"Rufhilfeplus - Sicherheit auf Knopfdruck","Hausnotruf","Gallneukirchen"
"Ruhepol","",""
"Schatzkiste","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Entwicklungsförderung / Frühe Hilfen","Linz"
"Scheidungsberatung","Beratung / Familienberatung","Linz"
"Schulassistenz Oberösterreich","Schulassistenz","Linz"
"Schule für Sozialbetreuungsberufe Gallneukirchen","Berufsbildende Schule","Gallneukirchen"
"Schule für Sozialbetreuungsberufe Mauerkirchen","Berufsbildende Schule","Mauerkirchen"
"Schule für Sozialbetreuungsberufe Ried im Innkreis","Berufsbildende Schule","Ried im Innkreis"
"Schule für Sozialbetreuungsberufe Salzburg","Berufsbildende Schule","Salzburg"
"Schule für Sozialbetreuungsberufe Wels","Berufsbildende Schule","Wels"
"Schulen für Sozialbetreuungsberufe Waiern","Berufsbildende Schule","Feldkirchen"
"Schweizer Haus Hadersdorf","Sucht / Therapie","Wien"
"Selbstständiges Wohnen Ramsau am Dachstein","Selbständiges Wohnen","Ramsau"
"Seniorenwohngemeinschaft PLUS Oberwart","Hausgemeinschaften / Betreutes Wohnen / Demenzberatung / Pflegeeinrichtung / Selbständiges Wohnen / Wohngemeinschaft","Oberwart"
"Servitas - Dienst am Nächsten","","Linz"
"Sesam","Lernbegleitung","Wien"
"SMILE - Inklusive Spielgruppe","Entwicklungsförderung / Kindergarten / Kleinkindgruppen / Frühförderung","Wien"
"Sonderbetreuungsangebot","","Klagenfurt"
"Sonderkrankenhaus für Kinder- und Jugendpsychiatrie","Psychiatrische Diagnostik und Behandlung / Psychologische Begleitung / Psychotherapie / Kinder- und Jugendpsychiatrie / Therapie","Linz"
"Sozialberatung","Sozialberatung","Linz"
"Sozialberatung - Hilfe, Information & Vermittlung in allen Lebenslagen","Sozialberatung / Integrationsarbeit","Klagenfurt"
"Sozialberatung Stadtdiakonie Wien","Sozialberatung / Wohnungslosenhilfe","Wien"
"Sozialberatung Wien","Psychosoziale Beratung / Sozialberatung","Bezirke: Postadresse: Lemböckgasse 49/Haus 1/3. Stock/Top C-31"
"Soziales Beratungszentrum Sebeş","Sozialberatung","Bezirke: Sebeş, Rumänien"
"Soziales Wohnungsmanagement","Wohnraummanagement","Wien"
"Sozialpädagogische Familienbetreuung (SFB) Bad Schallerbach","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Bad Schallerbach"
"Sozialpädagogische Familienbetreuung (SFB) Innviertel","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Altheim"
"Sozialpädagogische Familienbetreuung (SFB) Kärnten","Mobile Beratung / Sozialpädagogische Familienbetreuung","Klagenfurt"
"Sozialpädagogische Familienbetreuung (SFB) Linz","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Linz"
"Sozialpädagogische Familienbetreuung (SFB) Oberösterreich","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Linz"
"Sozialpädagogische Familienbetreuung (SFB) Perg","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Perg"
"Sozialpädagogische Familienbetreuung (SFB) Schlierbach","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Schlierbach"
"Sozialpädagogische Familienbetreuung (SFB) Steyr-Dietach","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Mobile Beratung / Sozialpädagogische Familienbetreuung","Steyr-Dietach"
"Sozialtherapeutisches Tageszentrum Hadersdorf","Sucht / Tagesbetreuung / Therapie","Wien"
"Spielsuchtambulanz de La Tour Villach","Beratung / Psychologische Begleitung / Psychotherapie / Psychosoziale Beratung / Sozialberatung / Jugendberatung / Ambulanz / Sucht / Therapie","Villach"
"Spielsuchtberatung de La Tour Spittal/Drau","Beratung / Psychologische Begleitung / Psychotherapie / Psychosoziale Beratung / Sozialberatung / Jugendberatung / Ambulanz","Spittal/Drau"
"Sprachtraining, Integration & Dolmetsch","Beratung / Bildungsberatung / Lernbegleitung / Integrationsarbeit","Salzburg"
"Sprungbrett Glöcklturm","Berufsvorbereitung","Lienz"
"Staberweg","Wohngruppen / Wohnen für Menschen im Autismusspektrum / Betreutes Wohnen / Kurzzeitwohnen / Werkstätten / Wohngemeinschaft","Feldkirchen"
"Stadtcafé","Berufsvorbereitung / Integrative Beschäftigung / Gastronomie","Klagenfurt"
"Stadtwerkstatt Feldkirchen","Werkstätten","Feldkirchen"
"Stadtwerkstatt hi Harbach","Werkstätten","Klagenfurt"
"Stadtwerkstatt St. Veit/Glan","Werkstätten","St. Veit an der Glan"
"STARTup Living - SFB+","Kinder- und Jugendhilfe / Unterstützung der Erziehung / Stadtteilarbeit / Wohnbegleitung","Linz"
"STEEP-Gruppe","Entwicklungsförderung / Frühförderung","Linz"
"Streichelzoo Linzerberg","Werkstätten","Bezirke: Engerwitzdorf"
"Studentenwohnheim Saggen","Studierendenheim","Innsbruck"
"Studierendenheim Albert Schweitzer Haus","Studierendenheim","Wien"
"Studierendenheim Wilhelm Dantine-Haus","Studierendenheim","Wien"
"Stützpunktwohnen Friedensgasse","Selbständiges Wohnen / Stützpunktwohnen","Klagenfurt"
"Stützpunktwohnen Salzburg","","Salzburg"
"Stützpunktwohnen Viktring","Wohnen für Menschen im Autismusspektrum / Selbständiges Wohnen / Stützpunktwohnen","Viktring"
"superhands","Hilfe für pflegende Kinder und Jugendliche","Wien"
"Tagesbetreuung Dumbraveni","Tagesbetreuung","Bezirke: Rumänien"
"Tagesbetreuung für Menschen mit Demenz","Beratung / Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Bezirke: Graz"
"Tagesbetreuung für sozial benachteiligte Kinder in Rumänien","Hort","Bezirke: Rumänien"
"Tagesbetreuung Gallneukirchen","Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Gallneukirchen"
"Tagesbetreuung Henndorf","Beratung / Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Bezirke: Henndorf am Wallersee"
"Tagesbetreuung Linz","Demenzberatung / Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Linz"
"Tagesbetreuung Salzburg-Aigen","Tagesbetreuung","Salzburg"
"Tagesbetreuung Salzburg-Gnigl","Tagesbetreuung","Salzburg"
"Tagesbetreuung Sebeş","Tagesbetreuung","Bezirke: Rumänien"
"Tagesbetreuung Wels","Demenzberatung / Angehörigen-Entlastung / Tagesbetreuung / Pflegende Angehörige","Wels"
"Tagesstruktur Monastero","","Treffen"
"Tageszentrum für Menschen mit Demenz - Seniorengarten Oberwart","Demenzberatung / Psychologische Begleitung / Angehörigen-Entlastung / Tagesbetreuung","Oberwart"
"Therapie Kirchbichl","Therapie","Kirchbichl"
"Therapie Menschen mit Behinderungen","Therapie","Feldkirchen"
"Therapie Stadt Salzburg","Therapie","Salzburg"
"Therapiezentrum Diakoniewerk in Oberösterreich","Entwicklungsförderung / Beratung / Diagnostik / Therapie","Bezirke: Urfahr-Umgebung"
"Therapiezentrum Haus Elisabeth","Beratung / Diagnostik / Therapie","Gallneukirchen"
"Therapiezentrum Linzerberg","Beratung / Diagnostik / Therapie","Engerwitzdorf"
"Therapiezentrum Pinzgau","Therapie","Bruck a.d. Glocknerstraße"
"Treffpunkt Burgfried Süd","Stadtteilarbeit / Alltagshilfen","Hallein"
"Unabhängige Beratung Kärnten","Rechtsberatung","Villach"
"Unabhängige Beratung Salzburg","Rechtsberatung","Salzburg"
"Unabhängige Beratung Tirol","Rechtsberatung","Innsbruck"
"Unabhängige Beratung Traiskirchen","Rechtsberatung","Bezirke: Gemeindesaal der Evangelische Pfarrgemeinde A.B. u H.B."
"Unabhängige Beratung Wien","Rechtsberatung","Bezirke: Wien, Burgenland"
"Veranstaltungszentrum Albert Schweitzer Haus","","Wien"
"Verein Freunde des Evangelischen Krankenhauses","","Wien"
"VESTA Wien","Grundversorgung / Mobile Beratung / Mobile Dienste / Selbständiges Wohnen / Sozialberatung / Sozialmedizinische Beratung","Wien"
"Vivio Oberwart","Hausgemeinschaften / Betreutes Wohnen / Pflegeeinrichtung / Haus für Senioren","Oberwart"
"Vorbetreuungsstelle Schweizer Haus Hadersdorf","Therapie","Wien"
"Vorschulkurs am Karlsplatz","Vorschulkurse","Wien"
"Wald-Erlebnis Ortenfelshütte","","Treffen"
"Waldemar Wohnen","Betreutes Wohnen / Alltagsbegleitung","Pasching"
"Wege aus der Kinderarmut","Familiencoaching / Familienberatung / Sozialberatung",""
"Wege aus der Kinderarmut - Gemeinsam Bewegen","","Bezirke: Klagenfurt"
"Wege aus der Kinderarmut - IDA","Integrationsarbeit","Klagenfurt"
"Werkstätte Am Steinbruch","Werkstätten","Treffen"
"Werkstätte Bad Hall","Werkstätten","Bad Hall"
"Werkstätte Bad Wimsbach","Werkstätten","Wimsbach-Neydharting"
"Werkstätte Emmaus","Werkstätten","Engerwitzdorf"
"Werkstätte Erle","Werkstätten","Engerwitzdorf"
"Werkstätte Hagenberg","Werkstätten","Hagenberg im Mühlkreis"
"Werkstätte Kirchbichl","Werkstätten","Kirchbichl"
"Werkstätte Linz Stifterstraße","Werkstätten","Linz"
"Werkstätte Linzerberg","Werkstätten","Engerwitzdorf"
"Werkstätte Mauerkirchen","Werkstätten","Mauerkirchen"
"Werkstätte Meierei","Werkstätten","Treffen"
"Werkstätte Mühle","Werkstätten","Gallneukirchen"
"Werkstätte Oberneukirchen","Werkstätten","Oberneukirchen"
"Werkstätte Ried in der Riedmark","Werkstätten","Ried in der Riedmark"
"Werkstätte Sebeş","","Sebeş, Rumänien"
"Werkstätte Sibiu","Werkstätten","Sibiu, Rumänien"
"Werkstätte St. Pantaleon","Werkstätten","St. Pantaleon"
"Werkstätte Wartberg","Werkstätten","Wartberg / Aist"
"Westbahnhoffnung Villach - Tabea Lebenshilfe","Krisen- und Notschlafstelle / Sucht / Wohnungslosenhilfe","Villach"
"WG Camino","Wohngruppen / Kinder- und Jugendhilfe / Volle Erziehung / Wohngemeinschaft","Linz"
"WG Challenge","Wohngruppen / Kinder- und Jugendhilfe / Volle Erziehung / Wohngemeinschaft","Linz"
"WG cowota Hermagor","Wohngruppen / Wohngemeinschaft","Hermagor"
"WG cowota Waiern","Wohngruppen / Wohngemeinschaft","Feldkirchen"
"WG future Waiern","Wohngruppen / Wohngemeinschaft","Feldkirchen"
"WG Jump","Wohngruppen / Kinder- und Jugendhilfe / Volle Erziehung / Wohngemeinschaft","Linz"
"WG Kaya","Wohngruppen / Psychiatrische Diagnostik und Behandlung / Essstörung / Stationäre Behandlung / Therapie","Linz"
"WG kids","Wohngruppen / Wohngemeinschaft","Klagenfurt"
"WG Meranerweg","Wohngruppen / Wohngemeinschaft","Neumarkt"
"WG OK","Wohngruppen / Wohngemeinschaft","Klagenfurt"
"WG sunshine Waiern","Wohngruppen / Wohngemeinschaft","Feldkirchen"
"WG Tamaya","Wohngruppen / Kinder- und Jugendhilfe / Volle Erziehung / Wohngemeinschaft","Linz"
"WG teens","Wohngruppen / Wohngemeinschaft","Klagenfurt"
"WG Weitblick","Wohngruppen / Wohngemeinschaft","Feldkirchen"
"WG WIFZACK","Wohngruppen / Wohngemeinschaft","Klagenfurt"
"Winter-Notschlafstelle","Krisen- und Notschlafstelle / Wohnungslosenhilfe","Wien"
